Modelo,Accuracy,Precision,Recall,F1,AUC,Gini,KS
Logistic,0.6266666666666667,0.7663043478260869,0.6714285714285714,0.7157360406091371,0.6500264550264551,0.3000529100529101,0.24920634920634915
RandomForest,0.66,0.7673267326732673,0.7380952380952381,0.7524271844660194,0.6253174603174603,0.25063492063492054,0.2396825396825396
XGBoost,0.6866666666666666,0.732,0.8714285714285714,0.7956521739130434,0.6129365079365079,0.22587301587301578,0.21269841269841272
